Cluster,Cutoff,Youden_Index,Sensitivity,Specificity
C1,0.0511,0.5799,0.7574,0.8226
C2,0.0349,0.5622,0.7890,0.7732
C3,0.0510,0.6139,0.7883,0.8255
C4,0.0456,0.5826,0.8447,0.7378
C5,0.0595,0.5316,0.7368,0.7948
C6,0.0384,0.5787,0.8310,0.7477
C7,0.0486,0.5230,0.7914,0.7316
C8,0.0780,0.5770,0.7078,0.8692
C9,0.0484,0.6298,0.7902,0.8396
C10,0.0374,0.5927,0.8370,0.7556
C11,0.0988,0.4626,0.6410,0.8216
C12,0.0653,0.6183,0.7372,0.8810
C13,0.0757,0.5464,0.7220,0.8245
