Cluster,Cutoff,Youden_Index,Sensitivity,Specificity
C1,0.0472,0.6657,0.873,0.7927
C2,0.0652,0.7315,0.8298,0.9017
C3,0.052,0.7072,0.8852,0.8219
C4,0.0725,0.6208,0.7697,0.8511
C5,0.0527,0.6311,0.8758,0.7553
C6,0.0725,0.6818,0.797,0.8848
C7,0.0589,0.6154,0.8269,0.7885
C8,0.0621,0.6668,0.8543,0.8125
C9,0.0579,0.7205,0.8548,0.8656
C10,0.0644,0.7038,0.8333,0.8704
C11,0.0831,0.5113,0.7574,0.7539
C12,0.0609,0.6903,0.8244,0.8659
C13,0.0676,0.6104,0.8278,0.7827
